1.487668	1.832835	re
3.434409	3.720897	re
5.260340	5.557184	re
7.086272	7.390019	re
8.950172	9.212499	re
10.710522	10.997011	re
12.608939	12.857459	re
14.393451	14.676488	re
16.761295	17.071945	re
18.590678	18.887521	re
21.013748	21.327850	re
22.888003	23.153782	re
25.052198	25.349042	re
27.803177	28.096569	re
29.470332	29.808595	re
31.437782	31.769142	re
33.263714	33.550202	re
35.348521	35.652268	re
37.108871	37.388456	re
38.858866	39.155709	re
40.532925	40.829768	re
42.289823	42.645345	re
44.046721	44.374630	re
45.813975	46.148787	re
48.002332	48.347498	re
49.697100	50.035364	re
51.481612	51.806069	re
53.342060	53.638904	re
55.123121	55.444126	re
57.294219	57.622127	re
59.182281	59.482576	re
61.032374	61.387896	re
63.410573	63.752288	re
65.522993	65.878515	re
67.473185	67.866675	re
70.006708	70.355327	re
72.067353	72.398713	re
74.314389	74.663007	re
76.219709	76.613199	re
77.986962	78.394259	re
79.785281	80.126996	re
82.142769	82.481032	re
83.834086	84.199963	re
85.691083	86.081121	re
87.479046	87.855278	re
89.695016	90.016021	re
91.348365	91.762565	re
93.163942	93.481495	re
94.986422	95.297072	re
96.625963	97.033260	re
98.986904	99.387297	re
100.919837	101.299520	re
102.804447	103.139259	re
104.630379	104.992804	re
105.044579	106.432149	sil
106.539151	106.939544	re
108.478988	108.813799	re
110.453341	110.808863	re
112.313790	112.645150	re
113.494260	114.650568	sil
115.230448	115.592873	re
115.620486	117.311803	sil
117.543065	117.836457	re
117.870973	119.386255	sil
119.752132	120.100750	re
120.124912	121.429642	sil
121.733389	122.064749	re
122.099265	123.680129	sil
123.797485	124.156459	re
124.180620	125.423220	sil
126.127361	126.462172	re
127.577061	127.884259	re
129.199344	129.547962	re
131.256538	131.615511	re
133.441443	133.800416	re
135.957708	136.309778	re
136.333940	138.453263	re
138.722493	139.091821	re
141.694378	142.046448	re
144.649005	144.959655	re
146.792490	147.120399	re
149.067139	149.405402	re
152.653421	153.033104	re
155.587338	155.877278	re
157.786049	158.086344	re
160.046891	160.364445	re
162.231796	162.583866	re
164.440863	164.744610	re
166.729318	167.067582	re
169.014322	169.349134	re
171.240647	171.603072	re
173.542909	173.874269	re
175.827912	176.166176	re
177.836783	178.116368	re
179.752458	180.045849	re
180.066559	181.439161	sil
